"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Day"	"Initial Wave Arrival Hour"	"Initial Wave Arrival Minute"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hour"	"Max Wave Arrival Minute"	"Maximum Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""1993 <= Year >= 2020""]"																																												
	1993	2	7	13	27	42	4	1	2215	6.3			"n"	"JAPAN"	"ISHIKAWA"	"WAZIMA"	37.4	136.9	40.059									0.5		2														
	1993	3	12	14	1	35.4	3	1	5602	6.4			"n"	"WALLIS AND FUTUNA (FRENCH TERRITORY)"		"LEAVA BAY, FUTUNA"	-14.29	-178.16	14.456											1										1				
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"USA"	"HI"	"HALEIWA, OAHU, HI"	21.593	-158.1055	5021.688									0.03		2														
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"USA TERRITORY"	"UM"	"WAKE ISLAND"	19.29	166.6183	3625.88									0.02		2														
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	5379.899									0.06		2														
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"USA TERRITORY"	"HI"	"MIDWAY ISLANDS"	28.215	-177.361	3291.048	8	17	37	4	34				0.05		2														
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"USA"	"AK"	"SHEMYA ISLAND, AK"	52.731	174.103	1128.399									0.05		2														
	1993	6	8	13	3	36.4	4	1	2218	7.5			"n"	"RUSSIA"	"KAMCHATKA"	"PETROPAVLOVSK, KAMCHATKA"	53.01667	158.65	207.884									0.1		2														
	1993	6	18	11	52	54.8	1	1	5515	6.6			"n"	"NEW ZEALAND"	"AUCKLAND"	"AUCKLAND"	-36.85	174.78	1181.414									0.1		1														
